DATE,TIME,DT,2DT,4DT,LON,CLASS,CPA,W,S,End Freq,F10.7obs,BURST TYPE,EVENT TYPE
1996/5/15,5:45,49,49,0,11.0059453,,293.0108565,275.6763285,1151.432854,0.5,164.7037844,2,0
1997/1/20,8:56,6,6,0,11.0059453,,281,72,175,12,76.8,2,0
1997/4/1,14:00,15,15,0,-16,-3.886056648,74,79,312,4,76.3,2,0
1997/4/7,14:30,180,180,0,-19,-4.167491087,360,360,878,1,76.8,2,0
1997/5/12,5:15,3525,3525,0,8,-4.886056648,360,360,464,0.08,72.2,2,0
1997/5/21,20:20,100,100,0,12,-3.886056648,263,165,296,0.5,84.8,2,0
1997/9/23,21:53,23,23,0,-25,-4.853871964,133,155,712,2,91.7,2,0
1997/11/3,5:15,405,405,0,13,-4.065501549,240,109,227,0.25,109.8,2,0
1997/11/3,10:30,60,60,0,21,-3.37675071,233,122,352,5,109.8,2,0
1997/11/4,6:00,1350,1350,0,33,-2.677780705,360,360,785,0.1,117.9,2,0
1997/11/4,6:40,280,280,0,33,-2.677780705,360,360,785,0.1,75.4,2,1
1997/11/6,12:20,1210,1210,0,63,-2.026872146,360,360,1556,0.0001,105.3,2,0
1997/11/6,12:29,25,0,25,63,-2.026872146,360,360,1556,0.0042,105.3,4,0
1997/11/6,12:30,865,865,30,63,-2.026872146,360,360,1556,0.1,74.5,2+4,1
1997/11/27,13:30,30,30,0,-63,-2.585026652,98,91,441,0.007,111.1,2,0
1997/12/12,22:45,35,35,0,52,-5.026872146,278,73,191,0.008,92.5,2,0
1997/12/12,22:44,20,0,20,52,-5.026872146,293.0108565,275.6763285,1151.432854,0.0054,92.5,4,0
1998/1/25,15:03,15,15,0,-25,-4.958607315,360,360,693,0.01,108.3,2,0
1998/3/29,3:40,12,12,0,11.0059453,,360,360,1397,0.007,100.3,2,0
1998/4/20,10:25,2615,2615,0,90,-3.853871964,284,165,1863,0.000035,97.7,2,0
1998/4/20,11:15,1495,1495,0,90,-3.853871964,284,243,1863,0.035,76.8,2,1
1998/4/20,14:00,1325,1325,0,90,-3.853871964,284,243,1863,0.0001,97.7,2,1
1998/4/23,6:00,570,570,0,-90,-2.920818754,360,360,1691,0.0002,90.2,2,0
